nohup: ignoring input
[DeDL/SDL] Epoch 245/1000, train MSE=1.2011
[DeDL/SDL] Epoch 246/1000, train MSE=1.1981
[DeDL/SDL] Epoch 247/1000, train MSE=1.1951
[DeDL/SDL] Epoch 248/1000, train MSE=1.1921
[DeDL/SDL] Epoch 249/1000, train MSE=1.1890
[DeDL/SDL] Epoch 250/1000, train MSE=1.1859
[DeDL/SDL] Epoch 251/1000, train MSE=1.1831
[DeDL/SDL] Epoch 252/1000, train MSE=1.1804
[DeDL/SDL] Epoch 253/1000, train MSE=1.1774
[DeDL/SDL] Epoch 254/1000, train MSE=1.1739
[DeDL/SDL] Epoch 255/1000, train MSE=1.1717
[DeDL/SDL] Epoch 256/1000, train MSE=1.1681
[DeDL/SDL] Epoch 257/1000, train MSE=1.1644
[DeDL/SDL] Epoch 258/1000, train MSE=1.1613
[DeDL/SDL] Epoch 259/1000, train MSE=1.1581
[DeDL/SDL] Epoch 260/1000, train MSE=1.1543
[DeDL/SDL] Epoch 261/1000, train MSE=1.1507
[DeDL/SDL] Epoch 262/1000, train MSE=1.1466
[DeDL/SDL] Epoch 263/1000, train MSE=1.1431
[DeDL/SDL] Epoch 264/1000, train MSE=1.1382
[DeDL/SDL] Epoch 265/1000, train MSE=1.1332
[DeDL/SDL] Epoch 266/1000, train MSE=1.1287
[DeDL/SDL] Epoch 267/1000, train MSE=1.1220
[DeDL/SDL] Epoch 268/1000, train MSE=1.1156
[DeDL/SDL] Epoch 269/1000, train MSE=1.1083
[DeDL/SDL] Epoch 270/1000, train MSE=1.0992
[DeDL/SDL] Epoch 271/1000, train MSE=1.0895
[DeDL/SDL] Epoch 272/1000, train MSE=1.0784
[DeDL/SDL] Epoch 273/1000, train MSE=1.0686
[DeDL/SDL] Epoch 274/1000, train MSE=1.0570
[DeDL/SDL] Epoch 275/1000, train MSE=1.0480
[DeDL/SDL] Epoch 276/1000, train MSE=1.0416
[DeDL/SDL] Epoch 277/1000, train MSE=1.0379
[DeDL/SDL] Epoch 278/1000, train MSE=1.0333
[DeDL/SDL] Epoch 279/1000, train MSE=1.0301
[DeDL/SDL] Epoch 280/1000, train MSE=1.0274
[DeDL/SDL] Epoch 281/1000, train MSE=1.0210
[DeDL/SDL] Epoch 282/1000, train MSE=1.0159
[DeDL/SDL] Epoch 283/1000, train MSE=1.0117
[DeDL/SDL] Epoch 284/1000, train MSE=1.0080
[DeDL/SDL] Epoch 285/1000, train MSE=1.0043
[DeDL/SDL] Epoch 286/1000, train MSE=1.0009
[DeDL/SDL] Epoch 287/1000, train MSE=0.9972
[DeDL/SDL] Epoch 288/1000, train MSE=0.9939
[DeDL/SDL] Epoch 289/1000, train MSE=0.9903
[DeDL/SDL] Epoch 290/1000, train MSE=0.9869
[DeDL/SDL] Epoch 291/1000, train MSE=0.9836
[DeDL/SDL] Epoch 292/1000, train MSE=0.9806
[DeDL/SDL] Epoch 293/1000, train MSE=0.9774
